Srial_No.,Symbol,Company Name,"Market Capitalisation in Lakh"
1,RELIANCE,Reliance Industries Limited,"70,603,579",
2,TCS,Tata Consultancy Services Limited,"68,522,297",
3,HINDUNILVR,Hindustan Unilever Limited,"49,758,412",
4,HDFCBANK,HDFC Bank Limited,"47,248,232",
5,HDFC,Housing Development Finance Corporation Limited,"28,235,708",
6,INFY,Infosys Limited,"27,320,750",
7,KOTAKBANK,Kotak Mahindra Bank Limited,"24,786,522",
8,BHARTIARTL,Bharti Airtel Limited,"24,053,552",
9,ITC,ITC Limited,"21,105,761",
10,ICICIBANK,ICICI Bank Limited,"20,954,333",
11,SBIN,State Bank of India,"17,568,098",
12,ASIANPAINT,Asian Paints Limited,"15,985,031",
13,DMART,Avenue Supermarts Limited,"14,170,071",
14,BAJFINANCE,Bajaj Finance Limited,"13,332,226",
15,MARUTI,Maruti Suzuki India Limited,"12,954,099",
16,HCLTECH,HCL Technologies Limited,"11,842,434",
17,LT,Larsen & Toubro Limited,"11,349,263",
18,WIPRO,Wipro Limited,"11,237,966",
19,AXISBANK,Axis Bank Limited,"10,691,225",
20,ULTRACEMCO,UltraTech Cement Limited,"9,365,399",
21,HDFCLIFE,HDFC Life Insurance Company Limited,"8,907,273",
22,COALINDIA,Coal India Limited,"8,630,901",
23,ONGC,Oil & Natural Gas Corporation Limited,"8,592,331",
24,SUNPHARMA,Sun Pharmaceutical Industries Limited,"8,452,857",
25,NTPC,NTPC Limited,"8,331,217",
26,POWERGRID,Power Grid Corporation of India Limited,"8,323,459",
27,TITAN,Titan Company Limited,"8,289,259",
28,DABUR,Dabur India Limited,"7,952,671",
29,IOC,Indian Oil Corporation Limited,"7,686,661",
30,BAJAJFINSV,Bajaj Finserv Limited,"7,306,311",
31,PIDILITIND,Pidilite Industries Limited,"6,890,482",
32,BPCL,Bharat Petroleum Corporation Limited,"6,874,362",
33,HINDZINC,Hindustan Zinc Limited,"6,566,146",
34,BRITANNIA,Britannia Industries Limited,"6,466,072",
35,SBILIFE,SBI Life Insurance Company Limited,"6,410,000",
36,SHREECEM,SHREE CEMENT LIMITED,"6,330,854",
37,BAJAJ-AUTO,Bajaj Auto Limited,"5,852,014",
38,SBICARD,SBI Cards and Payment Services Limited,"5,808,856",
39,TECHM,Tech Mahindra Limited,"5,461,323",
40,GODREJCP,Godrej Consumer Products Limited,"5,324,704",
41,DIVISLAB,Divi's Laboratories Limited,"5,280,303",
42,DRREDDY,Dr. Reddy's Laboratories Limited,"5,185,536",
43,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,"5,107,327",
44,ADANIPORTS,Adani Ports and Special Economic Zone Limited,"5,105,792",
45,ICICIGI,ICICI Lombard General Insurance Company Limited,"4,915,348",
46,BERGEPAINT,Berger Paints (I) Limited,"4,835,740",
47,HDFCAMC,HDFC Asset Management Company Limited,"4,492,424",
48,GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,"4,194,724",
49,INDIGO,InterGlobe Aviation Limited,"4,102,506",
50,SIEMENS,Siemens Limited,"3,965,043",
51,EICHERMOT,Eicher Motors Limited,"3,575,779",
52,MARICO,Marico Limited,"3,548,161",
53,M&M,Mahindra & Mahindra Limited,"3,542,477",
54,JSWSTEEL,JSW Steel Limited,"3,535,185",
55,MCDOWELL-N,United Spirits Limited,"3,521,291",
56,GAIL,GAIL (India) Limited,"3,452,514",
57,CIPLA,Cipla Limited,"3,409,166",
58,COLPAL,Colgate Palmolive (India) Limited,"3,407,164",
59,DLF,DLF Limited,"3,402,321",
60,TORNTPHARM,Torrent Pharmaceuticals Limited,"3,336,734",
61,PGHH,Procter & Gamble Hygiene and Health Care Limited,"3,333,507",
62,BANDHANBNK,Bandhan Bank Limited,"3,280,820",
63,BIOCON,Biocon Limited,"3,246,600",
64,HEROMOTOCO,Hero MotoCorp Limited,"3,188,739",
65,GRASIM,Grasim Industries Limited,"3,131,781",
66,AMBUJACEM,Ambuja Cements Limited,"3,091,650",
67,TATASTEEL,Tata Steel Limited,"3,037,016",
68,HAVELLS,Havells India Limited,"3,006,670",
69,PETRONET,Petronet LNG Limited,"2,995,500",
70,INFRATEL,Bharti Infratel Limited,"2,959,373",
71,HINDPETRO,Hindustan Petroleum Corporation Limited,"2,896,787",
72,YESBANK,Yes Bank Limited,"2,817,581",
73,ALKEM,Alkem Laboratories Limited,"2,780,903",
74,BOSCHLTD,Bosch Limited,"2,771,090",
75,CADILAHC,Cadila Healthcare Limited,"2,735,952",
76,IGL,Indraprastha Gas Limited,"2,715,653",
77,LUPIN,Lupin Limited,"2,669,907",
78,UPL,UPL Limited,"2,494,608",
79,NAUKRI,Info Edge (India) Limited,"2,489,195",
80,LTI,Larsen & Toubro Infotech Limited,"2,486,562",
81,BANKBARODA,Bank of Baroda,"2,474,313",
82,MRF,MRF Limited,"2,466,837",
83,MUTHOOTFIN,Muthoot Finance Limited,"2,457,901",
84,NMDC,NMDC Limited,"2,449,480",
85,INDUSINDBK,IndusInd Bank Limited,"2,436,375",
86,UBL,United Breweries Limited,"2,429,487",
87,PFC,Power Finance Corporation Limited,"2,427,555",
88,AUROPHARMA,Aurobindo Pharma Limited,"2,420,805",
89,VEDL,Vedanta Limited,"2,405,026",
90,ADANIGREEN,Adani Green Energy Limited,"2,396,852",
91,WHIRLPOOL,Whirlpool of India Limited,"2,307,672",
92,HONAUT,Honeywell Automation India Limited,"2,289,123",
93,TATAMOTORS,Tata Motors Limited,"2,194,716",
94,PNB,Punjab National Bank,"2,179,603",
95,HINDALCO,Hindalco Industries Limited,"2,149,482",
96,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,"2,130,111",
97,3MINDIA,3M India Limited,"2,120,982",
98,PEL,Piramal Enterprises Limited,"2,119,007",
99,KANSAINER,Kansai Nerolac Paints Limited,"2,088,044",
100,ADANITRANS,Adani Transmission Limited,"2,079,191",
101,CONCOR,Container Corporation of India Limited,"2,020,725",
